 ,Area,Mean,Min,Max,X,Y
1,0.000,0,0,0,0.039,18.261
2,0.000,0,0,0,0.040,18.065
3,0.000,0,0,0,0.041,17.917
4,0.000,0,0,0,0.042,17.754
5,0.000,0,0,0,0.044,17.541
6,0.000,0,0,0,0.045,17.279
7,0.000,0,0,0,0.046,17.017
8,0.000,0,0,0,0.047,16.772
9,0.000,5,5,5,0.048,16.576
10,0.000,0,0,0,0.049,16.330
11,0.000,0,0,0,0.050,16.003
12,0.000,0,0,0,0.051,15.757
13,0.000,0,0,0,0.052,15.479
14,0.000,0,0,0,0.054,15.086
15,0.000,0,0,0,0.055,14.727
16,0.000,5,5,5,0.056,14.334
17,0.000,0,0,0,0.057,13.908
18,0.000,25,25,25,0.058,13.548
19,0.000,0,0,0,0.060,13.221
20,0.000,16,16,16,0.061,12.812
21,0.000,0,0,0,0.062,12.501
22,0.000,0,0,0,0.063,12.141
23,0.000,0,0,0,0.064,11.748
24,0.000,21,21,21,0.065,11.323
25,0.000,10,10,10,0.066,10.963
26,0.000,0,0,0,0.067,10.636
27,0.000,0,0,0,0.068,10.309
28,0.000,1,1,1,0.069,9.850
29,0.000,0,0,0,0.071,9.294
30,0.000,0,0,0,0.073,8.770
31,0.000,0,0,0,0.074,9.114
32,0.000,0,0,0,0.075,9.490
33,0.000,0,0,0,0.075,9.916
34,0.000,30,30,30,0.075,10.374
35,0.000,0,0,0,0.076,10.799
36,0.000,22,22,22,0.077,11.192
37,0.000,0,0,0,0.077,11.601
38,0.000,0,0,0,0.078,11.978
39,0.000,23,23,23,0.079,12.305
40,0.000,26,26,26,0.080,12.567
41,0.000,0,0,0,0.081,12.878
42,0.000,0,0,0,0.083,13.188
43,0.000,0,0,0,0.084,13.532
44,0.000,0,0,0,0.086,13.810
45,0.000,0,0,0,0.088,14.023
46,0.000,0,0,0,0.089,14.137
47,0.000,16,16,16,0.090,14.203
48,0.000,0,0,0,0.091,14.301
49,0.000,18,18,18,0.092,14.334
50,0.000,0,0,0,0.094,14.399
51,0.000,42,42,42,0.096,14.465
52,0.000,0,0,0,0.097,14.514
53,0.000,0,0,0,0.099,14.596
54,0.000,0,0,0,0.100,14.661
55,0.000,0,0,0,0.102,14.743
56,0.000,0,0,0,0.103,14.808
57,0.000,0,0,0,0.105,14.939
58,0.000,0,0,0,0.107,15.054
59,0.000,0,0,0,0.109,15.185
60,0.000,0,0,0,0.110,15.217
61,0.000,0,0,0,0.112,15.332
62,0.000,0,0,0,0.114,15.446
63,0.000,21,21,21,0.116,15.528
64,0.000,69,69,69,0.118,15.643
65,0.000,0,0,0,0.120,15.708
66,0.000,31,31,31,0.121,15.774
67,0.000,0,0,0,0.123,15.790
68,0.000,0,0,0,0.124,15.888
69,0.000,0,0,0,0.126,15.872
70,0.000,14,14,14,0.128,15.921
71,0.000,14,14,14,0.129,15.921
72,0.000,14,14,14,0.131,15.954
